brand,stars,reviewsCount,Category,price/value,brands,main_category
VW,3.9,9709.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",6599.0,vw,Televisions
Sadhwanis,5.0,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2699.0,sadhwanis,Plug & Play Video Games
Bose,4.0,33633.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",15990.0,bose,Headphones
Noise,4.1,50396.0,Electronics › Wearable Technology › Smart Watches,1498.0,noise,Smart Watches
JBL,4.1,202172.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",569.0,jbl,Headphones
ZEBRONICS,3.8,67048.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",699.0,zebronics,Headphones
Ultimate Ears,4.6,8864.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,6995.0,ultimate ears,Speakers
Acer,4.2,2875.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",22999.0,acer,Televisions
JBL,4.3,505.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,15676.0,jbl,PC Gaming Peripherals
ASUS,3.2,5.0,Video Games › Handheld Game Systems › ROG Ally › Consoles,59990.0,asus,ROG Ally
Meta Quest,4.4,298.0,Computers & Accessories › CE - Flat 250 off on CC - 5000,51999.0,meta quest,
Nokia,2.7,6.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,5014.0,nokia,Smartphones & Basic Mobiles
MSI,5.0,8.0,Computers & Accessories › Monitors,86999.0,msi,
Jabra,4.4,273.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,41580.0,jabra,Speakers
Whirlpool,4.1,1880.0,Home & Kitchen › Large Appliances › Refrigerators,13970.0,whirlpool,Refrigerators
Alto Professional,3.0,1.0,Musical Instruments › PA & Stage › Speakers,20900.0,alto professional,Speakers
IKALL,3.0,5.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7799.0,ikall,Smartphones & Basic Mobiles
TECLUSIVE,3.7,88.0,Video Games › Prime Day Coupons | Video Games,799.0,teclusive,
Gameson,2.6,16.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,2998.0,gameson,PlayStation Systems
ASUS,3.1,6.0,Computers & Accessories › Laptops › Traditional Laptops,104990.0,asus,Traditional Laptops
BoAt,4.1,276340.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",499.0,boat,Headphones
Creative,4.3,193.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,7260.0,creative,Speakers
VIVO,4.8,899.0,Video Games › PlayStation 4 › Games,5778.21,vivo,Games
AYN,4.1,24.0,Toys & Games › Electronic Toys › Handheld Games,59769.0,ayn,Handheld Games
Bang & Olufsen,4.2,37.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,75000.0,bang & olufsen,Speakers
SHOKZ,4.2,275.0,"Electronics › Headphones, Earbuds & Accessories › Headphones",13499.0,shokz,Headphones
Lenovo,3.4,64.0,Computers & Accessories › Laptops › Traditional Laptops,16329.0,lenovo,Traditional Laptops
New World,2.8,39.0,Toys & Games › Electronic Toys › Plug & Play Video Games,3399.0,new world,Plug & Play Video Games
soundcore,4.6,7.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,6999.0,soundcore,Speakers
Nreal,3.9,30.0,"Electronics › Home Theater, TV & Video › Accessories › 3D Glasses",45999.0,nreal,Accessories
