brand,stars,reviewsCount,Category,price/value,brands,main_category
ALT,4.4,513.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",29999.0,alt,Televisions
Samsung,4.0,780.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,29999.0,samsung,Smartphones & Basic Mobiles
Infinity,3.8,66682.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",799.0,infinity,Headphones
BoAt,4.2,43732.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1799.0,boat,Speakers
Sony,4.2,7160.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",3990.0,sony,Headphones
Acer,4.3,196.0,Computers & Accessories › Laptops › Traditional Laptops,179990.0,acer,Traditional Laptops
Fire-Boltt,4.2,127208.0,Fashion › Onam 2021 › Watches and fashion jewellery › Watches top brands,1999.0,fire-boltt,Watches and fashion jewellery
MI,4.2,67782.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",29999.0,mi,Televisions
ViewSonic,4.5,1285.0,Computers & Accessories › Monitors,18999.0,viewsonic,
HP,3.2,26.0,Computers & Accessories › Laptops › Traditional Laptops,18990.0,hp,Traditional Laptops
Marshall,4.5,254.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,31999.0,marshall,Speakers
Acer,4.0,29.0,Computers & Accessories › Laptops › Traditional Laptops,29499.0,acer,Traditional Laptops
SHOKZ,4.5,16450.0,"Electronics › Headphones, Earbuds & Accessories › Headphones",13499.0,shokz,Headphones
Lenovo,4.1,76.0,Computers & Accessories › Laptops › Traditional Laptops,62494.0,lenovo,Traditional Laptops
SHOKZ,4.2,275.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Open-Ear Headphones",13499.0,shokz,Headphones
Huawei,4.4,5649.0,Electronics › Wearable Technology › Smart Watches,5499.0,huawei,Smart Watches
Lenovo,3.9,112.0,Computers & Accessories › Laptops › Traditional Laptops,33790.0,lenovo,Traditional Laptops
Cranique,4.4,23.0,Video Games › PlayStation 5 › Accessories › Cases & Storage › Cases,251.0,cranique,Accessories
Generic,2.2,11.0,Video Games › Video Games NCEMI,999.0,generic,
Motorola,3.4,162.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,49999.0,motorola,Smartphones & Basic Mobiles
KODAK,3.9,1734.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",18999.0,kodak,Televisions
Viart Creation,5.0,1.0,Toys & Games › Electronic Toys › Plug & Play Video Games,5499.0,viart creation,Plug & Play Video Games
Skullcandy,4.2,411.0,Video Games › PlayStation 4 › Accessories › Headsets,8277.0,skullcandy,Accessories
Vu,4.5,1548.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",87990.0,vu,Televisions
realme,3.9,8008.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9999.0,realme,Smartphones & Basic Mobiles
VW,4.2,1696.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",7499.0,vw,Televisions
BlackBerry,3.6,18.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,22999.0,blackberry,Smartphones & Basic Mobiles
TCL,4.1,3727.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",10490.0,tcl,Televisions
Portronics,4.2,20815.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1499.0,portronics,Speakers
Micca,4.5,503.0,Electronics › Home Audio › Speakers › Bookshelf Speakers,7990.0,micca,Speakers
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4499.0,jbl,Headphones
ASUS,4.6,3.0,Computers & Accessories › Laptops › Traditional Laptops,73990.0,asus,Traditional Laptops
JBL,3.3,34.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,5499.0,jbl,Speakers
Samsung,3.9,4719.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,20999.0,samsung,Smartphones & Basic Mobiles
Yamaha,4.1,131.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,16533.0,yamaha,Speakers
soundcore,4.6,4981.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4499.0,soundcore,Headphones
Bose,4.3,142.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,38400.0,bose,Speakers
NINKI,4.1,30.0,"Computers & Accessories › Accessories & Peripherals › Tablet Accessories › Bags,Cases & Sleeves › Cases",7039.0,ninki,Tablet Accessories
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2899.0,jbl,Headphones
Logitech G,4.4,620.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,14995.0,logitech g,PC Gaming Peripherals
F&D,4.2,2513.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,5625.0,f&d,Speakers
DJI,4.4,6537.0,Electronics › Mobiles & Accessories › Mobile Accessories › Photo & Video Accessories › Handheld Gimbals & Stabilisers,12988.0,dji,Mobile Accessories
Polk Audio,4.7,1159.0,Electronics › Home Audio › Speakers › Ceiling & In Wall Speakers,17190.0,polk audio,Speakers
CULTSPORT,4.2,1874.0,Electronics › Wearable Technology › Smart Watches,3499.0,cultsport,Smart Watches
boAt,3.9,4197.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3999.0,boat,Headphones
ZEBRONICS,4.0,174.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,2999.0,zebronics,Speakers
ASUS,3.6,7.0,Computers & Accessories › Laptops › Traditional Laptops,55990.0,asus,Traditional Laptops
GameSir,4.0,2848.0,Electronics › Mobiles & Accessories › Mobile Accessories › Gaming Accessories › Controllers,7299.0,gamesir,Mobile Accessories
Sony,4.3,8980.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",10990.0,sony,Headphones
SKYBALL,2.8,21.0,Electronics › Home Audio › Speakers › Tower Speakers,5499.0,skyball,Speakers
Geek Theory,4.3,1284.0,Toys & Games › Electronic Toys › Handheld Games,16102.51,geek theory,Handheld Games
Sonos,4.7,4790.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,32998.25,sonos,Speakers
CodersParadise,4.4,685.0,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Skin Stickers › Decals,289.0,codersparadise,Laptop Accessories
Mabron,5.0,1.0,Toys & Games › Electronic Toys › Handheld Games,919.0,mabron,Handheld Games
TELLUR,4.1,93.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9171.0,tellur,Speakers
Acer,4.3,4807.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",33999.0,acer,Televisions
Sony,4.7,393.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",59840.0,sony,Televisions
Dyanora,3.9,234.0,"Electronics › Home Theater, TV & Video › Televisions › Standard Televisions",7499.0,dyanora,Televisions
boAt,4.0,20902.0,Electronics › Home Audio › Speakers › Outdoor Speakers,1099.0,boat,Speakers
boAt,4.1,92974.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",499.0,boat,Headphones
IKALL,1.5,2.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6798.0,ikall,Smartphones & Basic Mobiles
boAt,4.1,276340.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0,boat,Headphones
Infinity,4.1,26625.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1498.0,infinity,Speakers
MOUJI,4.7,4.0,"Electronics › Laptops, Tablets & Cameras › Tablets",32669.0,mouji,Tablets
Nintendo,4.6,3527.0,Video Games › Nintendo Switch › Consoles,32399.0,nintendo,Consoles
Sennheiser,3.9,6384.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",5490.0,sennheiser,Headphones
JBL,4.4,32018.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9998.0,jbl,Speakers
ASUS,4.4,242.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,34640.0,asus,PC Gaming Peripherals
amazon basics,4.9,93.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",899.0,amazon basics,Headphones
Portronics,3.9,1237.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",199.0,portronics,Headphones
PTron,4.1,4244.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1399.0,ptron,Speakers
Sony,4.3,17615.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",2149.0,sony,Headphones
OnePlus,4.1,11823.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",36990.0,oneplus,Televisions
MSI,4.0,35.0,Computers & Accessories › Laptops › Traditional Laptops,105990.0,msi,Traditional Laptops
Viart Creation,3.1,40.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2599.0,viart creation,Plug & Play Video Games
LG,4.2,3603.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",33990.0,lg,Televisions
Lenovo,4.2,14.0,Computers & Accessories › Laptops › Traditional Laptops,80190.0,lenovo,Traditional Laptops
Acer,3.8,161.0,"Electronics › Home Theater, TV & Video › Televisions › Standard Televisions",7999.0,acer,Televisions
LS LAPSTER Quality Assured,3.4,2356.0,Electronics › Wearable Technology › Smart Watches & Accessories › Charging Docks,149.0,ls lapster quality assured,Smart Watches & Accessories
Harman Kardon,4.6,142.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,16299.0,harman kardon,Speakers
Dell,3.6,8.0,Computers & Accessories › Laptops › 2 in 1 Laptops,99490.0,dell,2 in 1 Laptops
Noise,4.0,13308.0,Electronics › Wearable Technology › Smart Watches,1498.0,noise,Smart Watches
Redmi,3.8,4255.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6799.0,redmi,Smartphones & Basic Mobiles
MI,4.0,4497.0,Electronics › Home Audio › Speakers › Outdoor Speakers,1997.0,mi,Speakers
Sameo,3.0,3.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,2599.0,sameo,PC Gaming Peripherals
EvoFox,3.9,1628.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,1424.0,evofox,PC Gaming Peripherals
Logitech,4.0,16363.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",745.0,logitech,Headphones
Whirlpool,4.2,445.0,Home & Kitchen › Large Appliances › Microwave Ovens,10990.0,whirlpool,Microwave Ovens
Tribit,4.5,1591.0,Electronics › Home Audio › Speakers › Outdoor Speakers,15081.0,tribit,Speakers
Samsung,3.8,568.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,22999.0,samsung,Smartphones & Basic Mobiles
Thyana's,1.0,1.0,Toys & Games › Electronic Toys › Handheld Games,285.0,thyana's,Handheld Games
Sony,4.3,3382.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7990.0,sony,Headphones
Sonodyne,4.3,46.0,Electronics › Home Audio › Speakers › Outdoor Speakers,20999.0,sonodyne,Speakers
Titan,3.7,16.0,Fashion › Watches › Smartwatches & Activity tracker › BT calling,8995.0,titan,Smartwatches & Activity tracker
ASUS,3.5,12.0,Computers & Accessories › Laptops › Traditional Laptops,112990.0,asus,Traditional Laptops
amazon basics,5.0,1.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",429.0,amazon basics,Accessories
pTron,3.6,4743.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0,ptron,Headphones
beatXP,3.1,158.0,Electronics › Wearable Technology › Smart Watches,999.0,beatxp,Smart Watches
boAt,3.9,101058.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",999.0,boat,Headphones
Samsung,4.1,28289.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,11499.0,samsung,Smartphones & Basic Mobiles
HP,4.1,1497.0,Computers & Accessories › Laptops › Traditional Laptops,38990.0,hp,Traditional Laptops
OnePlus,4.1,5224.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",799.0,oneplus,Headphones
OnePlus,4.0,3405.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,28998.0,oneplus,Smartphones & Basic Mobiles
Waveshare,3.8,38.0,Computers & Accessories › Components › Barebones,26265.0,waveshare,Barebones
KODAK,4.2,1367.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",9299.0,kodak,Televisions
AXVOLT,3.9,86.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",1299.0,axvolt,Televisions
CrossBeats,3.9,817.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1599.0,crossbeats,Speakers
Nokia,3.7,153.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,8999.0,nokia,Smartphones & Basic Mobiles
Sennheiser,4.1,3581.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4490.0,sennheiser,Headphones
Audio-Technica,4.4,839.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7790.0,audio-technica,Headphones
Nokia,3.6,442.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,8999.0,nokia,Smartphones & Basic Mobiles
Samsung,3.9,12723.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6499.0,samsung,Smartphones & Basic Mobiles
karya siddhi traders,3.7,4.0,Video Games › HandHeld Gaming,549.0,karya siddhi traders,
IKALL,1.0,3.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6999.0,ikall,Smartphones & Basic Mobiles
Sennheiser,3.7,2971.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",2587.0,sennheiser,Headphones
Nokia,3.2,88.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7099.0,nokia,Smartphones & Basic Mobiles
LG,4.3,3836.0,Computers & Accessories › Monitors,33099.0,lg,
HP,2.8,33.0,Computers & Accessories › Laptops › Traditional Laptops,16199.0,hp,Traditional Laptops
TCL,4.0,863.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",39990.0,tcl,Televisions
Hisense,4.0,1029.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",57999.0,hisense,Televisions
boAt,4.1,109460.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",1699.0,boat,Headphones
boAt,4.1,92974.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",449.0,boat,Headphones
realme,4.0,7310.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7499.0,realme,Smartphones & Basic Mobiles
JBL,4.2,8297.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,18999.0,jbl,Speakers
BoAt,4.0,30716.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",329.0,boat,Headphones
Tribit,4.5,1963.0,Electronics › Home Audio › Speakers › Outdoor Speakers,4090.0,tribit,Speakers
JBL,4.4,8896.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,4279.0,jbl,Speakers
Razer,4.2,407.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,31358.0,razer,PC Gaming Peripherals
Nothing,3.8,22.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,49989.0,nothing,Smartphones & Basic Mobiles
VW,4.1,2511.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",12999.0,vw,Televisions
boAt,4.1,109460.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",1958.0,boat,Headphones
Morphy Richards,4.3,698.0,Home & Kitchen › Kitchen & Dining › Kitchen Storage & Containers › Microwave Sets,10990.0,morphy richards,Kitchen Storage & Containers
Fujitsu,3.7,17.0,Computers & Accessories › Laptops › Traditional Laptops,73990.0,fujitsu,Traditional Laptops
Samsung,4.0,113.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,99999.0,samsung,Smartphones & Basic Mobiles
Lenovo,3.1,635.0,Computers & Accessories › Laptops › Traditional Laptops,15747.0,lenovo,Traditional Laptops
Nu,4.5,669.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",11990.0,nu,Televisions
Vanguard,4.3,171.0,Electronics › Cameras & Photography › Accessories › Cases & Bags › Camera Backpacks,10509.0,vanguard,Accessories
OnePlus,4.0,3405.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,26999.0,oneplus,Smartphones & Basic Mobiles
ASUS,4.0,523.0,Computers & Accessories › Laptops › Traditional Laptops,36990.0,asus,Traditional Laptops
Fire-Boltt,4.1,41186.0,Fashion › Onam 2021 › Watches and fashion jewellery › Watches top brands,1499.0,fire-boltt,Watches and fashion jewellery
HP,4.1,2407.0,Computers & Accessories › Laptops › Traditional Laptops,40499.0,hp,Traditional Laptops
TMG Store,3.7,15.0,Toys & Games › Electronic Toys › Handheld Games,999.0,tmg store,Handheld Games
NextTech,3.0,1.0,Toys & Games › Electronic Toys › Plug & Play Video Games,4649.0,nexttech,Plug & Play Video Games
BoAt,4.1,173914.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",499.0,boat,Headphones
VASAGLE,4.6,1925.0,Home & Kitchen › Furniture › Living Room Furniture › TV & Entertainment Units,61152.97,vasagle,Living Room Furniture
Samsung,4.2,35479.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",449.0,samsung,Headphones
JBL,4.2,58.0,Electronics › Home Audio › Speakers › Ceiling & In Wall Speakers,11249.0,jbl,Speakers
JBL,4.5,284.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,19999.0,jbl,Speakers
ASUS,3.9,404.0,Computers & Accessories › Laptops › Traditional Laptops,64990.0,asus,Traditional Laptops
Green Soul,4.1,32.0,Home & Kitchen › Furniture › Study & Home Office Furniture › Desks & Workstations › Desks,25999.0,green soul,Study & Home Office Furniture
Marshall,3.2,2868.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",11039.0,marshall,Headphones
Jabra,4.3,138.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",16999.0,jabra,Headphones
pTron,3.5,59765.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",189.0,ptron,Headphones
DUDUSTRONG,4.1,9.0,Video Games › Nintendo Switch › Accessories › Cases & Storage,585.0,dudustrong,Accessories
Jabra,4.7,5359.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,22557.0,jabra,Speakers
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4444.0,jbl,Headphones
ZEBRONICS,3.9,11769.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",1099.0,zebronics,Headphones
boAt,4.1,391673.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0,boat,Headphones
VALVE,4.5,24.0,"Electronics › Laptops, Tablets & Cameras › Tablets",57990.0,valve,Tablets
Sony,4.0,51989.0,Electronics › Electronics › Headphones › Headphones Below 999,773.0,sony,Headphones
Sony,4.1,570.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,12988.0,sony,Speakers
ThrustMaster,4.5,4627.0,Video Games › PC Games › Accessories › Controllers › Flight Controls,15990.0,thrustmaster,Accessories
Ultimate Ears,4.2,8540.0,Electronics › Home Audio › Speakers › Outdoor Speakers,13995.0,ultimate ears,Speakers
New World,3.2,1271.0,Video Games › Prime Day Coupons | Video Games,729.0,new world,
Sony,4.4,36.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,43519.0,sony,Speakers
MSI,4.4,21.0,Computers & Accessories › Laptops › Traditional Laptops,36990.0,msi,Traditional Laptops
SKY BUYER,3.0,58.0,Electronics › Wearable Technology › Smart Watches,499.0,sky buyer,Smart Watches
ZEBRONICS,3.7,143.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,999.0,zebronics,Speakers
CrossBeats,4.3,1539.0,Electronics › Wearable Technology › Smart Watches,1999.0,crossbeats,Smart Watches
Nintendo,4.5,591.0,Video Games › Nintendo Switch › Consoles,31990.0,nintendo,Consoles
Titan,3.7,16.0,Electronics › Wearable Technology › Smart Watches,7995.0,titan,Smart Watches
Oraimo,4.1,282.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Open-Ear Headphones",5699.0,oraimo,Headphones
Marshall,4.7,181.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,31999.0,marshall,Speakers
ENHANCE,4.8,92.0,Video Games › Xbox Series X & S › Accessories › Cases & Storage › Cases,14325.0,enhance,Accessories
IKALL,4.2,2.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6798.0,ikall,Smartphones & Basic Mobiles
Blaupunkt,4.0,831.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,899.0,blaupunkt,Speakers
ZEBRONICS,3.5,39743.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",129.0,zebronics,Headphones
Fire-Boltt,4.0,7763.0,Electronics › Wearable Technology › Smart Watches,2499.0,fire-boltt,Smart Watches
Enfogo,5.0,1.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1995.0,enfogo,Plug & Play Video Games
Samsung,4.5,676.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,134999.0,samsung,Smartphones & Basic Mobiles
Fastrack,3.9,5028.0,Fashion › Watches › Smartwatches & Activity tracker › BT calling,1799.0,fastrack,Smartwatches & Activity tracker
Acer,3.7,12.0,Computers & Accessories › Laptops › Traditional Laptops,41990.0,acer,Traditional Laptops
Artis,4.2,4.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,8499.0,artis,Speakers
Krisons,3.3,72.0,Electronics › Home Audio › Speakers › Tower Speakers,1599.0,krisons,Speakers
ASUS,5.0,4.0,Computers & Accessories › Laptops › Traditional Laptops,80490.0,asus,Traditional Laptops
Vu,4.4,3218.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",39990.0,vu,Televisions
New World,3.0,37.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,2728.0,new world,PlayStation Systems
Sony,4.1,433.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,4487.0,sony,Speakers
boAt,4.0,4414.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,899.0,boat,Speakers
Nothing,3.6,313.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,42399.0,nothing,Smartphones & Basic Mobiles
TechKing,2.6,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1999.0,techking,Plug & Play Video Games
MSI,4.1,34.0,Computers & Accessories › Laptops › Traditional Laptops,83990.0,msi,Traditional Laptops
Sennheiser Professional Audio,4.5,1718.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",10325.0,sennheiser professional audio,Headphones
CUQI,4.2,459.0,Computers & Accessories › Monitors,14070.0,cuqi,
itel,4.5,146.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9999.0,itel,Smartphones & Basic Mobiles
MARVIK,3.0,986.0,Electronics › Wearable Technology › Smart Watches,449.0,marvik,Smart Watches
Motorola,3.3,22.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9180.0,motorola,Smartphones & Basic Mobiles
boAt,4.5,2.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,7499.0,boat,Speakers
TOSHIBA,4.1,2787.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",16990.0,toshiba,Televisions
PSS,5.0,4.0,Video Games › Gaming Headsets,2890.0,pss,
Honeywell,4.5,2120.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",16599.0,honeywell,Accessories
JBL,4.2,8297.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,13515.0,jbl,Speakers
Aroma,3.8,157.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,488.0,aroma,Speakers
pTron,3.0,21.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,817.0,ptron,Speakers
OnePlus,4.1,42410.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",21990.0,oneplus,Televisions
TOZO,3.8,207371.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",1959.0,tozo,Headphones
Sony,4.5,11103.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",26990.0,sony,Headphones
JBL,4.3,15513.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9999.0,jbl,Speakers
PSS,2.9,2.0,Toys & Games › Prime Day › Games and puzzles: 25%-50% off,4990.0,pss,Games and puzzles: 25%-50% off
Dyanora,3.6,134.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8299.0,dyanora,Televisions
IKALL,3.0,4.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6798.0,ikall,Smartphones & Basic Mobiles
CredevZone,3.5,154.0,Toys & Games › Electronic Toys › Handheld Games,13642.0,credevzone,Handheld Games
Dell,3.6,61.0,Computers & Accessories › Laptops › Traditional Laptops,57490.0,dell,Traditional Laptops
Microsoft,3.0,4.0,Computers & Accessories › Laptops › Traditional Laptops,95999.0,microsoft,Traditional Laptops
Amera,3.2,10.0,Electronics › Wearable Technology › Smart Watches,728.0,amera,Smart Watches
JBL,3.7,32925.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",3999.0,jbl,Headphones
PowerA,4.6,1095.0,Video Games › Legacy Systems › Nintendo Systems › Nintendo 3DS › Accessories,1399.0,powera,Nintendo Systems
NIXBY TOYS,1.4,3.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,5499.0,nixby toys,PlayStation Systems
AVITA,1.8,6.0,Computers & Accessories › Laptops › Traditional Laptops,21490.0,avita,Traditional Laptops
LIVETONE,5.0,3.0,Electronics › Home Audio › Speakers › Tower Speakers,7399.0,livetone,Speakers
HP,4.2,275.0,Computers & Accessories › Laptops › Traditional Laptops,71990.0,hp,Traditional Laptops
Sony,4.2,8903.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",2099.0,sony,Headphones
MI,4.2,67782.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",42999.0,mi,Televisions
Acer,4.2,315.0,Computers & Accessories › Laptops › Traditional Laptops,71990.0,acer,Traditional Laptops
amazon basics,5.0,1.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",399.0,amazon basics,Accessories
RFV1,4.5,6.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2525.0,rfv1,Plug & Play Video Games
Cultsport,4.3,663.0,Electronics › Wearable Technology › Smart Watches,3499.0,cultsport,Smart Watches
MICROMINI,3.2,5.0,Video Games › Online Game Services,6980.0,micromini,
BoAt,4.0,30716.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",349.0,boat,Headphones
GSH,3.1,4.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,5499.0,gsh,PC Gaming Peripherals
SteelSeries,4.1,3287.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,30129.0,steelseries,PC Gaming Peripherals
ZEBRONICS,4.1,2969.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,3999.0,zebronics,Speakers
AOKZOE,1.0,1.0,Video Games › Nintendo Switch › Consoles,98999.0,aokzoe,Consoles
Lapras,5.0,2.0,Toys & Games › Electronic Toys › Handheld Games,915.0,lapras,Handheld Games
Lenovo,4.6,15.0,Computers & Accessories › Laptops › Traditional Laptops,17499.0,lenovo,Traditional Laptops
